model,pred_len,epoch,train_loss,val_loss,r2_val_sklearn
Transencwithlineardec,1,1,35021.08151746541,1429.8390275463462,-0.008140325546264648
Transencwithlineardec,1,2,34661.09949114546,1419.391487389803,-0.0007740259170532227
Transencwithlineardec,1,3,34589.809868462384,1398.0417439863086,0.014279186725616455
Transencwithlineardec,1,4,34493.633244775236,1369.1308667957783,0.034663379192352295
Transencwithlineardec,1,5,34426.85452758521,1356.934734493494,0.043262481689453125
Transencwithlineardec,1,6,34371.085836201906,1327.8117291927338,0.06379634141921997
Transencwithlineardec,1,7,34138.67396463454,1208.2862604260445,0.1480705738067627
Transencwithlineardec,1,8,33648.517302170396,1083.679070532322,0.23592758178710938
Transencwithlineardec,1,9,33624.32920768112,1069.6051646769047,0.24585074186325073
Transencwithlineardec,1,10,33392.81728102267,1054.08751142025,0.25679177045822144
Transencwithlineardec,1,11,33433.51400563866,1055.1370126008987,0.25605177879333496
Transencwithlineardec,1,12,33270.3553526327,1044.8944735527039,0.26327353715896606
Transencwithlineardec,1,13,33587.11435030401,1051.8128566294909,0.25839561223983765
Transencwithlineardec,1,14,33207.257749810815,1037.239530324936,0.26867085695266724
Transencwithlineardec,1,15,33201.84347357601,1051.29697483778,0.2587593197822571
Transencwithlineardec,1,16,33174.240994181484,1035.5907792150974,0.26983338594436646
Transencwithlineardec,1,17,33131.10120335221,1043.5176551938057,0.2642443776130676
Transencwithlineardec,1,18,32991.11150793731,1075.9493904560804,0.241377592086792
Transencwithlineardec,1,19,33040.913059026,1028.3909820318222,0.27490973472595215
Transencwithlineardec,1,20,33125.55328501016,1029.7047745287418,0.2739834189414978
Transencwithlineardec,1,21,33160.18275453895,1023.122028440237,0.2786247134208679
Transencwithlineardec,1,22,33071.27132435143,1032.0916459560394,0.2723005414009094
Transencwithlineardec,1,23,32865.673257410526,1073.5851008594036,0.24304461479187012
Transencwithlineardec,1,24,32910.78584489226,1038.8559530079365,0.267531156539917
Transencwithlineardec,1,25,32930.10441119224,1028.3156437575817,0.274962842464447
Transencwithlineardec,1,26,32953.92325744033,1055.979546174407,0.2554578185081482
Transencwithlineardec,1,27,32983.062447577715,1021.5276020765305,0.2797488570213318
Transencwithlineardec,1,28,32826.77932573855,1015.376142680645,0.2840861678123474
Transencwithlineardec,1,29,32815.53611688316,1014.0169677436352,0.28504449129104614
Transencwithlineardec,1,30,32860.136910036206,1017.5915746688843,0.2825241684913635
Transencwithlineardec,1,31,32876.45111079514,1025.6664210557938,0.2768307328224182
Transencwithlineardec,1,1,35078.01271447539,1383.366843521595,0.024625957012176514
Transencwithlineardec,1,2,34659.508131276816,1380.5851113200188,0.026587247848510742
Transencwithlineardec,1,3,34560.92806815356,1367.8542407900095,0.03556346893310547
Transencwithlineardec,1,4,34491.51613107324,1342.6512870192528,0.053333401679992676
Transencwithlineardec,1,5,34431.7567140311,1329.64195561409,0.06250590085983276
Transencwithlineardec,1,6,34349.05541835725,1294.6883664280176,0.08715075254440308
Transencwithlineardec,1,7,34050.29452060163,1143.8745949566364,0.19348537921905518
Transencwithlineardec,1,8,33642.70816758275,1084.6145751476288,0.2352679967880249
Transencwithlineardec,1,1,34513.63034575805,1269.5741899684072,0.10485804080963135
Transencwithlineardec,1,2,33758.988554973155,1160.6280480623245,0.18167299032211304
Transencwithlineardec,1,3,33488.637963198125,1102.8320941403508,0.22242331504821777
Transencwithlineardec,1,4,33312.312448810786,1072.713395729661,0.24365919828414917
Transencwithlineardec,1,5,33194.54492647201,1058.7862548083067,0.2534788250923157
Transencwithlineardec,1,6,33108.97639917582,1044.2523894309998,0.26372629404067993
Transencwithlineardec,1,7,33018.63784949854,1036.4308070242405,0.2692410945892334
Transencwithlineardec,1,8,32939.58466250822,1028.7128652185202,0.27468276023864746
Transencwithlineardec,1,9,32872.56252494827,1027.116206407547,0.27580851316452026
Transencwithlineardec,1,10,32823.718256905675,1025.0791370272636,0.2772447466850281
Transencwithlineardec,1,11,32772.71947538853,1023.8061354905367,0.2781423330307007
Transencwithlineardec,1,12,32746.447536572814,1022.4825408682227,0.27907562255859375
Transencwithlineardec,1,13,32652.79070059955,1021.5820178799331,0.279710590839386
Transencwithlineardec,1,14,32644.781399793923,1024.664099548012,0.27753746509552
Transencwithlineardec,1,15,32587.320564076304,1020.3608465492725,0.28057152032852173
Transencwithlineardec,1,16,32529.013990789652,1023.5640183910728,0.2783131003379822
Transencwithlineardec,1,17,32467.319743297994,1026.7931554168463,0.27603626251220703
Transencwithlineardec,1,18,32428.869993276894,1031.8730780035257,0.2724546790122986
Transencwithlineardec,1,19,32351.19958577305,1025.2866244390607,0.27709853649139404
