model,pred_len,epoch,train_loss,val_loss,r2_val_sklearn
LSTM_MO,1,0,252979.04629062084,67082.0949809533,-6.186962127685547e-05
LSTM_MO,1,1,252926.66129643866,67079.50266970569,-4.470348358154297e-05
LSTM_MO,1,2,252922.1626002535,67079.05841949696,-3.337860107421875e-05
LSTM_MO,1,3,252919.16588316573,67078.74613195521,-2.205371856689453e-05
LSTM_MO,1,4,252917.08241564163,67078.56466558325,-1.5854835510253906e-05
LSTM_MO,2,0,337684.8569654382,89587.20443143189,2.7060508728027344e-05
LSTM_MO,2,1,337622.2384988536,89586.64568299738,1.5854835510253906e-05
LSTM_MO,2,2,337615.0067934783,89586.30123598521,2.6345252990722656e-05
LSTM_MO,2,3,337611.1963952106,89587.05598554539,9.775161743164062e-06
LSTM_MO,2,4,337608.5572934358,89586.58497211951,1.811981201171875e-05
LSTM_MO,3,0,371028.74930555554,97989.38051273259,-1.1444091796875e-05
LSTM_MO,3,1,371029.0043891059,97990.22684950501,-5.3048133850097656e-05
LSTM_MO,3,2,371003.58928765194,97988.1353498852,1.1742115020751953e-05
LSTM_MO,3,3,371002.57575954864,97988.93560558057,2.384185791015625e-06
LSTM_MO,3,4,370996.3788736979,97988.04491255665,4.51207160949707e-05
LSTM_MO,4,0,388974.54430042615,101483.52813953662,-4.982948303222656e-05
LSTM_MO,4,1,388927.2674449574,101483.32051377624,-4.374980926513672e-05
LSTM_MO,4,2,388918.18635697797,101482.36450381679,-2.288818359375e-05
LSTM_MO,4,3,388916.4656760476,101482.32753980797,-2.7179718017578125e-05
LSTM_MO,4,4,388912.1337668679,101482.45716729783,-6.67572021484375e-06
LSTM_MO,5,0,399901.0212402344,102783.72502763504,-6.222724914550781e-05
LSTM_MO,5,1,399887.9201882102,102784.62165251927,-7.784366607666016e-05
LSTM_MO,5,2,399888.47405450995,102785.67684277157,-7.724761962890625e-05
LSTM_MO,5,3,399893.7109818892,102788.70057015939,-0.00010561943054199219
LSTM_MO,5,4,399896.2037242543,102790.79207387891,-9.644031524658203e-05
LSTM_MO,6,0,407079.5967932413,102998.03550075435,-6.687641143798828e-05
LSTM_MO,6,1,407135.4581043332,102996.56919636189,-5.1856040954589844e-05
LSTM_MO,6,2,407113.60353833577,102995.86723231357,-1.5974044799804688e-05
LSTM_MO,6,3,407111.12327398255,102997.2324274767,-3.2067298889160156e-05
LSTM_MO,6,4,407106.94563612825,102996.33145614245,3.6716461181640625e-05
LSTM_MO,7,0,412413.21055385045,102754.37161844228,-0.00012922286987304688
LSTM_MO,7,1,412461.30108351936,102757.78072017283,-7.2479248046875e-05
LSTM_MO,7,2,412456.26623535156,102762.70938256229,-0.0001100301742553711
LSTM_MO,7,3,412456.32398623513,102762.78928376702,-4.649162292480469e-05
LSTM_MO,7,4,412447.69976516,102763.29384821642,-5.173683166503906e-05
LSTM_MO,8,0,416655.4792659108,102309.31326696568,-0.00010502338409423828
LSTM_MO,8,1,416710.21731195215,102312.44541239693,-8.928775787353516e-05
LSTM_MO,8,2,416711.8287770341,102312.26015400932,-0.0001055002212524414
LSTM_MO,8,3,416716.1591320503,102314.57117656176,-6.0558319091796875e-05
LSTM_MO,8,4,416694.7226711366,102313.06546656534,-5.221366882324219e-05
LSTM_MO,9,0,420038.09208984376,101908.40771110929,-0.0001659393310546875
LSTM_MO,9,1,420088.13881835935,101909.58751997938,-0.00017893314361572266
LSTM_MO,9,2,420104.3379882813,101913.08401845199,-0.00017142295837402344
LSTM_MO,9,3,420095.84670410154,101914.24595370758,-0.0001169443130493164
LSTM_MO,9,4,420083.2994873047,101913.8141702393,-0.0001055002212524414
LSTM_MO,10,0,422632.72705078125,101646.70730625898,-0.00017273426055908203
LSTM_MO,10,1,422680.00928955077,101644.13684128801,-0.0001544952392578125
LSTM_MO,10,2,422679.57700195315,101642.76800092793,-0.0001780986785888672
LSTM_MO,10,3,422676.3548339844,101647.339765176,-0.00016498565673828125
LSTM_MO,10,4,422666.3180297852,101643.74592070014,-0.00013649463653564453
LSTM_MO,11,0,424233.70686848956,101306.7397367397,-0.0002206563949584961
LSTM_MO,11,1,424339.7793688652,101304.72862413194,-0.00023746490478515625
LSTM_MO,11,2,424327.63486891525,101304.1181865122,-0.00022470951080322266
LSTM_MO,11,3,424327.8994704026,101303.35641070253,-0.00022995471954345703
LSTM_MO,11,4,424307.89319786656,101303.89675190074,-0.00020313262939453125
LSTM_MO,12,0,425054.2189041941,100914.18992456897,-0.00013899803161621094
LSTM_MO,12,1,425057.13335217925,100930.81413041038,-0.00022590160369873047
LSTM_MO,12,2,425083.9348144531,100927.7786177712,-0.00011456012725830078
LSTM_MO,12,3,425042.2023540296,100928.21540966984,-9.059906005859375e-05
LSTM_MO,12,4,425031.8610518606,100928.94109756645,-7.712841033935547e-05
LSTM_MO,13,0,425250.5803750528,100578.17453996798,-7.18832015991211e-05
LSTM_MO,13,1,425297.8669433594,100583.78775293342,-8.0108642578125e-05
LSTM_MO,13,2,425316.31196553,100585.27255073635,-2.4437904357910156e-05
LSTM_MO,13,3,425291.21060098184,100583.40954449533,3.30805778503418e-05
LSTM_MO,13,4,425274.10653769004,100584.99947336716,0.00011074542999267578
LSTM_MO,14,0,425242.263671875,100204.85770810883,-0.0001214742660522461
LSTM_MO,14,1,425263.94826931425,100219.82130777059,-0.00018405914306640625
LSTM_MO,14,2,425304.5559217665,100223.29380313099,-0.00019061565399169922
LSTM_MO,14,3,425257.2795952691,100222.78133231562,-0.0001442432403564453
LSTM_MO,14,4,425264.56026204425,100224.70383216595,-0.0001418590545654297
LSTM_MO,15,0,425044.15219455294,99777.10558777441,-7.426738739013672e-05
LSTM_MO,15,1,425132.8313259549,99782.0146512491,-0.00022673606872558594
LSTM_MO,15,2,425146.27582465275,99781.60106531535,-0.0001348257064819336
LSTM_MO,15,3,425122.8844265408,99781.35795326745,-0.00018310546875
LSTM_MO,15,4,425090.53819444444,99779.38076612359,-9.09566879272461e-05
LSTM_MO,16,0,424781.17386648996,99276.83344876514,-0.00042998790740966797
LSTM_MO,16,1,424890.1889857701,99287.82438510301,-0.0003273487091064453
LSTM_MO,16,2,424911.9092075893,99289.15175378254,-0.0003484487533569336
LSTM_MO,16,3,424877.0607700893,99294.11968748126,-0.0001615285873413086
LSTM_MO,16,4,424845.6164481027,99285.07159084093,-0.0001480579376220703
LSTM_MO,17,0,424566.13982077205,98789.4062753044,-0.00016498565673828125
LSTM_MO,17,1,424631.7835908778,98813.34522234135,-0.0002567768096923828
LSTM_MO,17,2,424644.8437069164,98803.16042850663,-0.00013256072998046875
LSTM_MO,17,3,424593.1961598116,98803.98745182791,-9.167194366455078e-05
LSTM_MO,17,4,424579.9957490809,98800.48194765174,-7.76052474975586e-05
