model,pred_len,epoch,train_loss,val_loss,r2_val_sklearn
lstm,75,1,98519.5533118248,14286.065937280655,-0.0004724264144897461
lstm,75,2,98488.0514588952,14285.836651921272,-0.0004563331604003906
lstm,75,3,98467.15806394815,14282.692586898804,-0.00023615360260009766
lstm,75,4,98435.29936814308,14278.45073723793,6.085634231567383e-05
lstm,75,5,98386.36300814152,14275.937895536423,0.00023680925369262695
lstm,75,6,98314.17937093973,14273.056655406952,0.0004385709762573242
lstm,75,7,98224.23929351568,14271.975725412369,0.0005142092704772949
lstm,75,8,98083.34073460102,14274.305418014526,0.00035113096237182617
lstm,75,9,97856.59350550175,14279.470037341118,-1.049041748046875e-05
lstm,75,10,97475.15351462364,14291.377738237381,-0.0008443593978881836
