model,pred_len,epoch,train_loss,val_loss,r2_val_sklearn
s4transformer,1,1,35245.00353050232,1434.0624171495438,-0.011118054389953613
s4transformer,1,2,34731.57830512524,1406.1605062484741,0.00855475664138794
s4transformer,1,3,34588.82906484604,1385.0677406787872,0.023426711559295654
s4transformer,1,4,34495.9500772357,1373.7566657066345,0.03140181303024292
s4transformer,1,5,34420.78311383724,1348.3046361207962,0.04934734106063843
s4transformer,1,6,34344.37755393982,1321.849657177925,0.0680001974105835
s4transformer,1,7,34263.95759862661,1291.7911858558655,0.08919346332550049
s4transformer,1,8,33980.004446566105,1120.8344678878784,0.209730327129364
s4transformer,1,9,33668.20484101772,1132.3297369480133,0.2016252875328064
s4transformer,1,10,33459.784655332565,1069.8930159807205,0.2456478476524353
s4transformer,1,11,33239.61138480902,1068.0892276763916,0.2469194531440735
s4transformer,1,12,33150.35926133394,1057.454529285431,0.2544178366661072
s4transformer,1,13,33066.54941391945,1048.7649998664856,0.2605445384979248
